"ISIS Calcs (Axelrod with Furnas), begun 12/7/2015",,,,,,,,,,,,,,,,,,,,,,,,
,"Corrected by Zander Furnas, 2/20/16",,,,,,,,,,,,,,,,,,,,,,,
73,1,1,2,2,1,2,1,2,2,2,2,-52600,300,0,-2100,-900,-600,-2600,-26000,-2400,-8000,-1300,-9000,FALSE
74,1,1,2,2,1,2,2,1,2,2,2,-14200,-1300,-2000,100,100,-2600,200,-8000,-1200,0,-500,1000,FALSE
75,1,1,2,2,1,2,2,2,1,2,2,-31800,-2100,-1600,-900,-300,-2600,-600,-14000,-400,-9600,-700,1000,FALSE
76,1,1,2,2,1,2,2,2,2,1,2,-17000,-1600,-1900,-200,0,-2500,-800,-7000,-600,-400,-2500,500,FALSE
77,1,1,2,2,1,2,2,2,2,2,1,-37600,-2200,-2500,-100,100,-2600,-1600,-16000,-400,0,-800,-11500,FALSE
78,1,1,2,2,2,1,1,2,2,2,2,-52400,600,0,-1800,-1100,-2300,-800,-26000,-1600,-8000,-1400,-10000,FALSE
79,1,1,2,2,2,1,2,1,2,2,2,-17200,-1000,-2000,400,-100,-300,-3600,-8000,-2000,0,-600,0,FALSE
80,1,1,2,2,2,1,2,2,1,2,2,-31600,-1800,-1600,-600,-500,-300,-2800,-14000,400,-9600,-800,0,FALSE
81,1,1,2,2,2,1,2,2,2,1,2,-16400,-1300,-1900,100,-200,-400,-2600,-7000,200,-400,-2400,-500,FALSE
82,1,1,2,2,2,1,2,2,2,2,1,-33400,-1900,-2500,200,-100,-300,-1800,-16000,400,0,-900,-10500,FALSE
83,1,1,2,2,2,2,1,1,2,2,2,-48800,800,0,-1800,-900,-1900,-1400,-26000,800,-8000,-1400,-9000,FALSE
84,1,1,2,2,2,2,1,2,1,2,2,-42400,0,400,-2800,-1300,-1900,-2200,-20000,-2400,-1600,-1600,-9000,FALSE
85,1,1,2,2,2,2,1,2,2,1,2,-56000,500,100,-2100,-1000,-2000,-2400,-27000,-2600,-8400,-1600,-9500,FALSE
86,1,1,2,2,2,2,1,2,2,2,1,-40200,-100,-500,-2000,-900,-1900,-3200,-18000,-2400,-8000,-1700,-1500,FALSE
87,1,1,2,2,2,2,2,1,1,2,2,-28000,-1600,-1600,-600,-300,100,600,-14000,-1200,-9600,-800,1000,FALSE
88,1,1,2,2,2,2,2,1,2,1,2,-12800,-1100,-1900,100,0,0,400,-7000,-1000,-400,-2400,500,FALSE
89,1,1,2,2,2,2,2,1,2,2,1,-33800,-1700,-2500,200,100,100,-400,-16000,-1200,0,-900,-11500,FALSE
90,1,1,2,2,2,2,2,2,1,1,2,-29600,-1900,-1500,-900,-400,0,-400,-13000,-600,-9200,-2200,500,FALSE
91,1,1,2,2,2,2,2,2,1,2,1,-51400,-2500,-2100,-800,-300,100,-1200,-22000,-400,-9600,-1100,-11500,FALSE
92,1,1,2,2,2,2,2,2,2,1,1,-35000,-2000,-2400,-100,0,0,-1400,-15000,-600,-400,-2100,-11000,FALSE
93,1,2,1,1,1,2,2,2,2,2,2,-17200,-1900,-100,-2400,-1800,-2500,-600,-7000,-200,-800,-400,500,FALSE
94,1,2,1,1,2,1,2,2,2,2,2,-17400,-1600,-100,-2700,-1600,-400,-2800,-7000,600,-800,-500,-500,FALSE
95,1,2,1,1,2,2,1,2,2,2,2,-56200,200,-2100,-500,-800,-2000,-2200,-27000,-2200,-8800,-1300,-9500,FALSE
96,1,2,1,1,2,2,2,1,2,2,2,-14600,-1400,-100,-2700,-1800,0,600,-7000,-1400,-800,-500,500,FALSE
97,1,2,1,1,2,2,2,2,1,2,2,-28200,-2200,-500,-1700,-1400,0,-200,-13000,-200,-8800,-700,500,FALSE
98,1,2,1,1,2,2,2,2,2,1,2,-16600,-1700,-200,-2400,-1700,-100,-400,-6000,-400,-1200,-2500,0,FALSE
99,1,2,1,1,2,2,2,2,2,2,1,-35200,-2300,400,-2500,-1800,0,-1200,-15000,-200,-800,-800,-11000,FALSE
100,1,2,1,2,1,1,2,2,2,2,2,-18000,-1500,0,-2800,-200,-2100,-2600,-8000,600,-400,-500,-500,FALSE
101,1,2,1,2,1,2,1,2,2,2,2,-53600,300,-2000,-600,-1000,-500,-2400,-26000,-2200,-8400,-1300,-9500,FALSE
102,1,2,1,2,1,2,2,1,2,2,2,-16000,-1300,0,-2800,0,-2500,400,-8000,-1400,-400,-500,500,FALSE
103,1,2,1,2,1,2,2,2,1,2,2,-31200,-2100,-400,-1800,-400,-2500,-400,-14000,-200,-9200,-700,500,FALSE
104,1,2,1,2,1,2,2,2,2,1,2,-18000,-1600,-100,-2500,-100,-2400,-600,-7000,-400,-800,-2500,0,FALSE
105,1,2,1,2,1,2,2,2,2,2,1,-36600,-2200,500,-2600,0,-2500,-1400,-16000,-200,-400,-800,-11000,FALSE
106,1,2,1,2,2,1,1,2,2,2,2,-54600,600,-2000,-900,-1200,-2400,-1000,-26000,-1400,-8400,-1400,-10500,FALSE
107,1,2,1,2,2,1,2,1,2,2,2,-20200,-1000,0,-3100,-200,-400,-3800,-8000,-2200,-400,-600,-500,FALSE
108,1,2,1,2,2,1,2,2,1,2,2,-32200,-1800,-400,-2100,-600,-400,-3000,-14000,600,-9200,-800,-500,FALSE
109,1,2,1,2,2,1,2,2,2,1,2,-18600,-1300,-100,-2800,-300,-500,-2800,-7000,400,-800,-2400,-1000,FALSE
110,1,2,1,2,2,1,2,2,2,2,1,-33600,-1900,500,-2900,-200,-400,-2000,-16000,600,-400,-900,-10000,FALSE
111,1,2,1,2,2,2,1,1,2,2,2,-51000,800,-2000,-900,-1000,-2000,-1200,-26000,600,-8400,-1400,-9500,FALSE
112,1,2,1,2,2,2,1,2,1,2,2,-42200,0,-2400,100,-1400,-2000,-2000,-20000,-2200,-1200,-1600,-9500,FALSE
113,1,2,1,2,2,2,1,2,2,1,2,-57400,500,-2100,-600,-1100,-2100,-2200,-27000,-2400,-8800,-1600,-10000,FALSE
114,1,2,1,2,2,2,1,2,2,2,1,-39600,-100,-1500,-700,-1000,-2000,-3000,-18000,-2200,-8400,-1700,-1000,FALSE
115,1,2,1,2,2,2,2,1,1,2,2,-28600,-1600,-400,-2100,-400,0,800,-14000,-1400,-9200,-800,500,FALSE
116,1,2,1,2,2,2,2,1,2,1,2,-15000,-1100,-100,-2800,-100,-100,600,-7000,-1200,-800,-2400,0,FALSE
117,1,2,1,2,2,2,2,1,2,2,1,-34000,-1700,500,-2900,0,0,-200,-16000,-1400,-400,-900,-11000,FALSE
118,1,2,1,2,2,2,2,2,1,1,2,-29400,-1900,-500,-1800,-500,-100,-200,-13000,-400,-8800,-2200,0,FALSE
119,1,2,1,2,2,2,2,2,1,2,1,-49200,-2500,100,-1900,-400,0,-1000,-22000,-200,-9200,-1100,-11000,FALSE
120,1,2,1,2,2,2,2,2,2,1,1,-34400,-2000,400,-2600,-100,-100,-1200,-15000,-400,-800,-2100,-10500,FALSE
121,1,2,2,1,1,1,2,2,2,2,2,-16000,-1800,-200,-200,-1800,-2200,-2200,-7000,400,0,-500,-500,FALSE
122,1,2,2,1,1,2,1,2,2,2,2,-57200,0,-2200,-2400,-1000,-600,-2800,-27000,-2400,-8000,-1300,-9500,FALSE
123,1,2,2,1,1,2,2,1,2,2,2,-14800,-1600,-200,-200,-2000,-2600,0,-7000,-1200,0,-500,500,FALSE
124,1,2,2,1,1,2,2,2,1,2,2,-32400,-2400,-600,-1200,-1600,-2600,-800,-13000,-400,-9600,-700,500,FALSE
125,1,2,2,1,1,2,2,2,2,1,2,-17600,-1900,-300,-500,-1900,-2500,-1000,-6000,-600,-400,-2500,0,FALSE
126,1,2,2,1,1,2,2,2,2,2,1,-36200,-2500,300,-400,-2000,-2600,-1800,-15000,-400,0,-800,-11000,FALSE
127,1,2,2,1,2,1,1,2,2,2,2,-56200,300,-2200,-2100,-800,-2300,-600,-27000,-1600,-8000,-1400,-10500,FALSE
128,1,2,2,1,2,1,2,1,2,2,2,-17000,-1300,-200,100,-1800,-300,-3400,-7000,-2000,0,-600,-500,FALSE
129,1,2,2,1,2,1,2,2,1,2,2,-31400,-2100,-600,-900,-1400,-300,-2600,-13000,400,-9600,-800,-500,FALSE
130,1,2,2,1,2,1,2,2,2,1,2,-16200,-1600,-300,-200,-1700,-400,-2400,-6000,200,-400,-2400,-1000,FALSE
131,1,2,2,1,2,1,2,2,2,2,1,-31200,-2200,300,-100,-1800,-300,-1600,-15000,400,0,-900,-10000,FALSE
132,1,2,2,1,2,2,1,1,2,2,2,-53400,500,-2200,-2100,-1000,-1900,-1600,-27000,800,-8000,-1400,-9500,FALSE
133,1,2,2,1,2,2,1,2,1,2,2,-47000,-300,-2600,-3100,-600,-1900,-2400,-21000,-2400,-1600,-1600,-9500,FALSE
134,1,2,2,1,2,2,1,2,2,1,2,-60600,200,-2300,-2400,-900,-2000,-2600,-28000,-2600,-8400,-1600,-10000,FALSE
135,1,2,2,1,2,2,1,2,2,2,1,-42800,-400,-1700,-2300,-1000,-1900,-3400,-19000,-2400,-8000,-1700,-1000,FALSE
136,1,2,2,1,2,2,2,1,1,2,2,-28600,-1900,-600,-900,-1600,100,400,-13000,-1200,-9600,-800,500,FALSE
137,1,2,2,1,2,2,2,1,2,1,2,-13400,-1400,-300,-200,-1900,0,200,-6000,-1000,-400,-2400,0,FALSE
138,1,2,2,1,2,2,2,1,2,2,1,-32400,-2000,300,-100,-2000,100,-600,-15000,-1200,0,-900,-11000,FALSE
139,1,2,2,1,2,2,2,2,1,1,2,-30200,-2200,-700,-1200,-1500,0,-600,-12000,-600,-9200,-2200,0,FALSE
140,1,2,2,1,2,2,2,2,1,2,1,-50000,-2800,-100,-1100,-1600,100,-1400,-21000,-400,-9600,-1100,-11000,FALSE
141,1,2,2,1,2,2,2,2,2,1,1,-33600,-2300,200,-400,-1900,0,-1600,-14000,-600,-400,-2100,-10500,FALSE
142,1,2,2,2,1,1,1,2,2,2,2,-52400,400,-2100,-2000,-1000,-200,-400,-26000,-1600,-7600,-1400,-10500,FALSE
143,1,2,2,2,1,1,2,1,2,2,2,-17200,-1200,-100,200,0,-2200,-3200,-8000,-2000,400,-600,-500,FALSE
144,1,2,2,2,1,1,2,2,1,2,2,-33200,-2000,-500,-800,-400,-2200,-2400,-14000,400,-10000,-800,-500,FALSE
145,1,2,2,2,1,1,2,2,2,1,2,-16400,-1500,-200,-100,-100,-2100,-2200,-7000,200,0,-2400,-1000,FALSE
146,1,2,2,2,1,1,2,2,2,2,1,-31400,-2100,400,0,0,-2200,-1400,-16000,400,400,-900,-10000,FALSE
147,1,2,2,2,1,2,1,1,2,2,2,-50400,600,-2100,-2000,-800,-600,-1800,-26000,800,-7600,-1400,-9500,FALSE
148,1,2,2,2,1,2,1,2,1,2,2,-45600,-200,-2500,-3000,-1200,-600,-2600,-20000,-2400,-2000,-1600,-9500,FALSE
149,1,2,2,2,1,2,1,2,2,1,2,-57600,300,-2200,-2300,-900,-500,-2800,-27000,-2600,-8000,-1600,-10000,FALSE
150,1,2,2,2,1,2,1,2,2,2,1,-39800,-300,-1600,-2200,-800,-600,-3600,-18000,-2400,-7600,-1700,-1000,FALSE
151,1,2,2,2,1,2,2,1,1,2,2,-31200,-1800,-500,-800,-200,-2600,200,-14000,-1200,-10000,-800,500,FALSE
152,1,2,2,2,1,2,2,1,2,1,2,-14400,-1300,-200,-100,100,-2500,0,-7000,-1000,0,-2400,0,FALSE
153,1,2,2,2,1,2,2,1,2,2,1,-33400,-1900,400,0,200,-2600,-800,-16000,-1200,400,-900,-11000,FALSE
154,1,2,2,2,1,2,2,2,1,1,2,-32800,-2100,-600,-1100,-300,-2500,-800,-13000,-600,-9600,-2200,0,FALSE
155,1,2,2,2,1,2,2,2,1,2,1,-52600,-2700,0,-1000,-200,-2600,-1600,-22000,-400,-10000,-1100,-11000,FALSE
156,1,2,2,2,1,2,2,2,2,1,1,-34600,-2200,300,-300,100,-2500,-1800,-15000,-600,0,-2100,-10500,FALSE
157,1,2,2,2,2,1,1,1,2,2,2,-53400,900,-2100,-1700,-1000,-2300,-1600,-26000,0,-7600,-1500,-10500,FALSE
158,1,2,2,2,2,1,1,2,1,2,2,-45400,100,-2500,-2700,-1400,-2300,-800,-20000,-1600,-2000,-1700,-10500,FALSE
159,1,2,2,2,2,1,1,2,2,1,2,-57000,600,-2200,-2000,-1100,-2400,-600,-27000,-1800,-8000,-1500,-11000,FALSE
160,1,2,2,2,2,1,1,2,2,2,1,-35600,0,-1600,-1900,-1000,-2300,200,-18000,-1600,-7600,-1800,0,FALSE
161,1,2,2,2,2,1,2,1,1,2,2,-34200,-1500,-500,-500,-400,-300,-3600,-14000,-2000,-10000,-900,-500,FALSE
162,1,2,2,2,2,1,2,1,2,1,2,-17000,-1000,-200,200,-100,-400,-3400,-7000,-1800,0,-2300,-1000,FALSE
163,1,2,2,2,2,1,2,1,2,2,1,-32400,-1600,400,300,0,-300,-2600,-16000,-2000,400,-1000,-10000,FALSE
164,1,2,2,2,2,1,2,2,1,1,2,-32200,-1800,-600,-800,-500,-400,-2600,-13000,200,-9600,-2100,-1000,FALSE
165,1,2,2,2,2,1,2,2,1,2,1,-48400,-2400,0,-700,-400,-300,-1800,-22000,400,-10000,-1200,-10000,FALSE
166,1,2,2,2,2,1,2,2,2,1,1,-30000,-1900,300,0,-100,-400,-1600,-15000,200,0,-2000,-9500,FALSE
167,1,2,2,2,2,2,1,1,1,2,2,-41800,300,-2500,-2700,-1200,-1900,-1400,-20000,800,-2000,-1700,-9500,FALSE
168,1,2,2,2,2,2,1,1,2,1,2,-53400,800,-2200,-2000,-900,-2000,-1600,-27000,1000,-8000,-1500,-10000,FALSE
169,1,2,2,2,2,2,1,1,2,2,1,-36000,200,-1600,-1900,-800,-1900,-2400,-18000,800,-7600,-1800,-1000,FALSE
170,1,2,2,2,2,2,1,2,1,1,2,-47800,0,-2600,-3000,-1300,-2000,-2400,-21000,-2600,-1600,-1300,-10000,FALSE
171,1,2,2,2,2,2,1,2,1,2,1,-31200,-600,-2000,-2900,-1200,-1900,-3200,-12000,-2400,-2000,-2000,-1000,FALSE
172,1,2,2,2,2,2,1,2,2,1,1,-41600,-100,-1700,-2200,-900,-2000,-3400,-19000,-2600,-8000,-1200,-500,FALSE
173,1,2,2,2,2,2,2,1,1,1,2,-28600,-1600,-600,-800,-300,0,400,-13000,-1000,-9600,-2100,0,FALSE
174,1,2,2,2,2,2,2,1,1,2,1,-48800,-2200,0,-700,-200,100,-400,-22000,-1200,-10000,-1200,-11000,FALSE
175,1,2,2,2,2,2,2,1,2,1,1,-30400,-1700,300,0,100,0,-600,-15000,-1000,0,-2000,-10500,FALSE
176,1,2,2,2,2,2,2,2,1,1,1,-48800,-2500,-100,-1000,-300,0,-1400,-21000,-600,-9600,-1800,-10500,FALSE
177,1,1,1,1,1,2,2,2,2,2,2,-21000,-1800,-2000,-2500,-1700,-2500,-600,-9000,-200,-1200,-500,1000,FALSE
178,1,1,1,1,2,1,2,2,2,2,2,-21200,-1500,-2000,-2800,-1500,-400,-2800,-9000,600,-1200,-600,0,FALSE
179,1,1,1,1,2,2,1,2,2,2,2,-52000,300,0,-600,-700,-2000,-2200,-25000,-2200,-9200,-1400,-9000,FALSE
180,1,1,1,1,2,2,2,1,2,2,2,-18400,-1300,-2000,-2800,-1700,0,600,-9000,-1400,-1200,-600,1000,FALSE
181,1,1,1,1,2,2,2,2,1,2,2,-30400,-2100,-1600,-1800,-1300,0,-200,-15000,-200,-8400,-800,1000,FALSE
182,1,1,1,1,2,2,2,2,2,1,2,-20000,-1600,-1900,-2500,-1600,-100,-400,-8000,-400,-1600,-2400,500,FALSE
183,1,1,1,1,2,2,2,2,2,2,1,-41000,-2200,-2500,-2600,-1700,0,-1200,-17000,-200,-1200,-900,-11500,FALSE
184,1,1,1,2,1,1,2,2,2,2,2,-22200,-1400,-2100,-2900,-300,-2100,-2600,-10000,600,-800,-600,0,FALSE
185,1,1,1,2,1,2,1,2,2,2,2,-49800,400,-100,-700,-1100,-500,-2400,-24000,-2200,-8800,-1400,-9000,FALSE
186,1,1,1,2,1,2,2,1,2,2,2,-20200,-1200,-2100,-2900,-100,-2500,400,-10000,-1400,-800,-600,1000,FALSE
187,1,1,1,2,1,2,2,2,1,2,2,-33800,-2000,-1700,-1900,-500,-2500,-400,-16000,-200,-8800,-800,1000,FALSE
188,1,1,1,2,1,2,2,2,2,1,2,-21800,-1500,-2000,-2600,-200,-2400,-600,-9000,-400,-1200,-2400,500,FALSE
189,1,1,1,2,1,2,2,2,2,2,1,-42800,-2100,-2600,-2700,-100,-2500,-1400,-18000,-200,-800,-900,-11500,FALSE
